Solicitation Number,Solicitation Description,Purchasing Agency,Submission Ending Date/Time,Link to Solicitation
5400029494,Pond/Channel Sediment Removal @Dennis,Natural Resources,04/01/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029494
5400029470,District 4 Bridge Timbers,Transportation,04/02/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029470
5400029469,CHAINALYIS SS DETERMINATION,Corrections,03/09/2026 08:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029469
5400029468,CHUGLAB SS DETERMINATION,Corrections,03/09/2026 08:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029468
5400029467,Investigator Complaint Module,Consumer Affairs,03/18/2026 12:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029467
5400029461,Two (2) Model T700U Dilution Calibrators,SC Dept. of Environmental Serv,04/08/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029461
5400029460,AMBIENT SURFACE WATER TESTING,SC Dept. of Environmental Serv,04/01/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029460
5400029459,Farm Equipment Lease - Combine & Headers,Corrections,03/24/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029459
5400029458,BATHHOUSE HVAC INSTALLATION,"Parks, Recreation & Tourism",03/12/2026 12:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029458
5400029457,Pole and Netting Replacement,Corrections,03/19/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029457
5400029452,LEXINGTON BACKUP GENERATOR,Transportation,03/23/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029452
5400029450,CROP DOLOMITIC LIME & NITROGEN RE-BID,Corrections,03/12/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029450
5400029449,SLED CAMPER SHELLS,Law Enforcement Div,03/13/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029449
5400029448,SLED TRUCK VAULTS,Law Enforcement Div,03/13/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029448
5400029447,REMOTE CONTROL ELECTRIC HELICOPTER PAD,Law Enforcement Div,03/11/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029447
5400029444,TACO PUMP,Corrections,03/12/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029444
5400029438,IT CONSULTING SERVICES,Midlands Technical College,03/20/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029438
5400029437,Heavy Duty Winch Mount Pushbumpers,Transportation,03/23/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029437
5400029433,Rental of a Marsh Masters,Natural Resources,04/01/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029433
5400029431,Adobe License Renewal,Natural Resources,03/19/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029431
5400029430,GRIDDLE SCREENS,Corrections,03/12/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029430
5400029428,Pest Control Supplies,Corrections,03/05/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029428
5400029419,Grounds Maintenance Fort Mill WC,"Parks, Recreation & Tourism",03/18/2026 03:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029419
5400029417,DISASTER TRANSPORTATION SERVICES,Materials Mgmt Ofc,03/30/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029417
5400029412,CULVERT REPAIR ON LONG CANE,Forestry Comm,03/05/2026 02:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029412
5400029411,Asphalt Core Rig-Truck Mounted,Transportation,03/25/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029411
5400029409,Grounds Maintenance Blacksburg WC,"Parks, Recreation & Tourism",03/19/2026 12:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029409
5400029408,Disptach Chairs,Forestry Comm,03/10/2026 02:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029408
5400029407,Livestock Hoof Care,Corrections,03/17/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029407
5400029405,"Provide&Deliver 1.5"" granite crusher run",Natural Resources,03/11/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029405
5400029401,2026 Hurricane Guide,Adjutant General,03/06/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029401
5400029400,WUI Mastication- Long Cane,Forestry Comm,03/04/2026 02:00:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029400
5400029399,2 YR POLYETHYLENE BRINE TANK PURCHASE-D1,Transportation,03/12/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029399
5400029398,OSL - AREA DOSIMETER BADGES,Corrections,03/05/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029398
5400029394,LODGE RFQ,Law Enforcement Div,03/05/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029394
5400029391,MICROSOFT UNIFIED SUPPORT SERVICES,Transportation,04/02/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029391
5400029390,STC Online Reverse Auction Services,Materials Mgmt Ofc,04/06/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029390
5400029377,CHANNEL MONSTER GRINDER,Corrections,03/10/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029377
5400029376,AMBULANCE COT,Corrections,03/04/2026 10:45:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029376
5400029374,HELICOPTER UPGRADE,Materials Mgmt Ofc,03/24/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029374
5400029373,JANITORIAL/CUSODIAL SERVICES FOR USC COL,Materials Mgmt Ofc,04/06/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029373
5400029372,REMOVE & REPLACE 2 ROOFS AT DONNELLY,Natural Resources,03/17/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029372
5400029371,REMOVE & REPLACE ROOF AT BOTANY BAY,Natural Resources,03/10/2026 10:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029371
5400029362,Vending Services,Materials Mgmt Ofc,04/09/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029362
5400029357,EMERGENCY POWER SUPPLY MAINTENANCE,MUSC,04/02/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029357
5400029346,*AGENCYWIDE ON-CALL SWEEPING,Transportation,03/19/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029346
5400029344,AGENCY ALERT SYSTEM,Dept. of Public Health,03/12/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029344
5400029342,SaaS Data Warehousing and Data Analytics,Materials Mgmt Ofc,03/24/2026 11:00:00 AM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029342
5400029332,GOOGLE MAPS PLATFORM,Transportation,03/17/2026 02:30:00 PM,https://apps.sceis.sc.gov/SCSolicitationWeb/contractSearch.do?solicitnumber=5400029332
